time,price
2022-05-16T20:36:27.492590,7
2022-05-16T20:36:37.947814,7
2022-05-16T20:36:48.167427,7
2022-05-16T20:36:58.315557,7
2022-05-16T20:37:08.490046,7
2022-05-16T20:37:18.892444,7
2022-05-16T20:37:29.227345,7
2022-05-16T20:37:39.681991,7
2022-05-16T20:37:50.140784,7
2022-05-16T20:38:00.342094,7
2022-05-16T20:38:10.492577,7
2022-05-16T20:38:20.908336,7
2022-05-16T20:38:31.081289,7
2022-05-16T20:38:41.320484,7
2022-05-16T20:38:51.783002,7
2022-05-16T20:39:02.079764,7
2022-05-16T20:39:12.238724,7
2022-05-16T20:39:22.708049,7
2022-05-16T20:39:33.150775,7
2022-05-16T20:39:43.309378,7
2022-05-16T20:39:53.732083,7
2022-05-16T20:40:03.938030,7
2022-05-16T20:40:14.131813,7
2022-05-16T20:40:24.457090,7
2022-05-16T20:40:34.818634,7
2022-05-16T20:40:44.976426,7
2022-05-16T20:40:55.170868,7
2022-05-16T20:41:05.596988,7
2022-05-16T20:41:15.768848,7
2022-05-16T20:41:26.029736,7
2022-05-16T20:41:36.266661,7
2022-05-16T20:41:46.720976,7
2022-05-16T20:41:57.173699,7
2022-05-16T20:42:07.665946,7
2022-05-16T20:42:17.936351,7
2022-05-16T20:42:28.089830,7
2022-05-16T20:42:38.251317,7
2022-05-16T20:42:48.760786,7
2022-05-16T20:42:59.222693,7
2022-05-16T20:43:09.682615,7
2022-05-16T20:43:20.009266,7
2022-05-16T20:43:30.183937,7
2022-05-16T20:43:40.336823,7
2022-05-16T20:43:50.501363,7
2022-05-16T20:44:00.665806,7
2022-05-16T20:44:10.832506,7
2022-05-16T20:44:20.992759,7
2022-05-16T20:44:31.333853,7
2022-05-16T20:44:41.662303,7
2022-05-16T20:44:52.108571,7
2022-05-16T20:45:02.399806,7
2022-05-16T20:45:12.559308,7
2022-05-16T20:45:22.847616,7
2022-05-16T20:45:33.271275,7
2022-05-16T20:45:43.426914,7
2022-05-16T20:45:53.883646,7
2022-05-16T20:46:04.086186,7
2022-05-16T20:46:14.246095,7
2022-05-16T20:46:24.674025,7
2022-05-16T20:46:34.922643,7
2022-05-16T20:46:45.300111,7
2022-05-16T20:46:55.456891,7
2022-05-16T20:47:05.611776,7
2022-05-16T20:47:15.885505,7
2022-05-16T20:47:26.131068,7
2022-05-16T20:47:36.407570,7
2022-05-16T20:47:46.820602,7
2022-05-16T20:47:57.185283,7
2022-05-16T20:48:07.348391,7
2022-05-16T20:48:17.802131,7
2022-05-16T20:48:27.970526,7
2022-05-16T20:48:38.228725,7
2022-05-16T20:48:48.552147,7
2022-05-16T20:48:58.727849,7
2022-05-16T20:49:09.165066,7
2022-05-16T20:49:19.704682,7
2022-05-16T20:49:29.872781,7
2022-05-16T20:49:40.136802,7
2022-05-16T20:49:50.544499,7
2022-05-16T20:50:00.865294,7
2022-05-16T20:50:11.069751,7
2022-05-16T20:50:21.551395,7
2022-05-16T20:50:31.778534,7
2022-05-16T20:50:41.942096,7
2022-05-16T20:50:52.253654,7
2022-05-16T20:51:02.561401,7
2022-05-16T20:51:12.787948,7
2022-05-16T20:51:23.282632,7
2022-05-16T20:51:33.537364,7
2022-05-16T20:51:43.888496,7
2022-05-16T20:51:54.055304,7
2022-05-16T20:52:04.392899,7
2022-05-16T20:52:14.798022,7
2022-05-16T20:52:25.132685,7
2022-05-16T20:52:35.307157,7
2022-05-16T20:52:45.515998,7
2022-05-16T20:52:55.941107,7
2022-05-16T20:53:06.382360,7
2022-05-16T20:53:16.865007,7
2022-05-16T20:53:27.381097,7
2022-05-16T20:53:37.653967,7
2022-05-16T20:53:47.830395,7
2022-05-16T20:53:58.290472,7
2022-05-16T20:54:08.454301,7
2022-05-16T20:54:18.613648,7
2022-05-16T20:54:29.111291,7
2022-05-16T20:54:39.600327,7
2022-05-16T20:54:50.049844,7
2022-05-16T20:55:00.533847,7
2022-05-16T20:55:11.027559,7
2022-05-16T20:55:21.397813,7
2022-05-16T20:55:31.551823,7
2022-05-16T20:55:41.973307,7
2022-05-16T20:55:52.311053,7
2022-05-16T20:56:02.766012,7
2022-05-16T20:56:13.128537,7
2022-05-16T20:56:23.582424,7
2022-05-16T20:56:34.069988,7
2022-05-16T20:56:44.415778,7
2022-05-16T20:56:54.891547,7
2022-05-16T20:57:05.275629,7
2022-05-16T20:57:15.438655,7
2022-05-16T20:57:25.798098,7
2022-05-16T20:57:36.270569,7
2022-05-16T20:57:46.634603,7
2022-05-16T20:57:56.901620,7
2022-05-16T20:58:07.244428,7
2022-05-16T20:58:17.585353,7
2022-05-16T20:58:27.862579,7
2022-05-16T20:58:38.289291,7
2022-05-16T20:58:48.466459,7
2022-05-16T20:58:58.752339,7
2022-05-16T20:59:09.169276,7
2022-05-16T20:59:19.843574,7
2022-05-16T20:59:30.044781,7
2022-05-16T20:59:40.308675,7
2022-05-16T20:59:50.736534,7
2022-05-16T21:00:01.137897,7
2022-05-16T21:00:11.378582,7
2022-05-16T21:00:21.808277,7
2022-05-16T21:00:32.013649,7
2022-05-16T21:00:42.312303,7
2022-05-16T21:00:52.805739,7
2022-05-16T21:01:03.216515,7
2022-05-16T21:01:13.599507,7
2022-05-16T21:01:23.913994,7
2022-05-16T21:01:34.130551,7
2022-05-16T21:01:44.618338,7
2022-05-16T21:01:55.019003,7
2022-05-16T21:02:05.267747,7
2022-05-16T21:02:15.653908,7
2022-05-16T21:02:26.107316,7
2022-05-16T21:02:36.407621,7
2022-05-16T21:02:46.746112,7
2022-05-16T21:02:56.923507,7
2022-05-16T21:03:07.086998,7
2022-05-16T21:03:17.835631,7
2022-05-16T21:03:28.287509,7
2022-05-16T21:03:38.770611,7
2022-05-16T21:03:48.936575,7
2022-05-16T21:03:59.402121,7
2022-05-16T21:04:09.822201,7
2022-05-16T21:04:20.083727,7
2022-05-16T21:04:30.430714,7
2022-05-16T21:04:40.790008,7
2022-05-16T21:04:51.246077,7
2022-05-16T21:05:01.561392,7
2022-05-16T21:05:11.882499,7
2022-05-16T21:05:22.188761,7
2022-05-16T21:05:32.610396,7
2022-05-16T21:05:43.029773,7
2022-05-16T21:05:53.239422,7
2022-05-16T21:06:03.482235,7
2022-05-16T21:06:13.952365,7
2022-05-16T21:06:24.239884,7
2022-05-16T21:06:34.557103,7
2022-05-16T21:06:45.009937,7
2022-05-16T21:06:55.361632,7
2022-05-16T21:07:05.822417,7
2022-05-16T21:07:16.264023,7
2022-05-16T21:07:26.758197,7
2022-05-16T21:07:36.912656,7
2022-05-16T21:07:47.370857,7
2022-05-16T21:07:57.779641,7
2022-05-16T21:08:08.044951,7
2022-05-16T21:08:18.212185,7
2022-05-16T21:08:28.591969,7
2022-05-16T21:08:38.892786,7
2022-05-16T21:08:49.310714,7
2022-05-16T21:08:59.623890,7
2022-05-16T21:09:10.056255,7
2022-05-16T21:09:20.349767,7
2022-05-16T21:09:30.775677,7
2022-05-16T21:09:41.114969,7
2022-05-16T21:09:51.412776,7
2022-05-16T21:10:01.691608,7
2022-05-16T21:10:11.973744,7
2022-05-16T21:10:22.217557,7
2022-05-16T21:10:32.532237,7
2022-05-16T21:10:43.019126,7
2022-05-16T21:10:53.411817,7
2022-05-16T21:11:03.632016,7
2022-05-16T21:11:13.984729,7
2022-05-16T21:11:24.405139,7
2022-05-16T21:11:34.860941,7
2022-05-16T21:11:45.278947,7
2022-05-16T21:11:55.650004,7
2022-05-16T21:12:05.845991,7
2022-05-16T21:12:16.226480,7
2022-05-16T21:12:26.551905,7
