partition_datetime,mean_price
2022-09-01T06:00:00Z,7
2022-09-01T06:05:00Z,7
2022-09-01T06:10:00Z,7
2022-09-01T06:15:00Z,7
2022-09-01T06:20:00Z,7
2022-09-01T06:25:00Z,7.019575681152228
2022-09-01T06:30:00Z,7.37479330307129
2022-09-01T06:35:00Z,9.528782961878871
2022-09-01T06:40:00Z,12.19552343205505
2022-09-01T06:45:00Z,15.601547232354802
2022-09-01T06:50:00Z,18.927349230354782
2022-09-01T06:55:00Z,24.043864390209706
2022-09-01T07:00:00Z,27.065746916713525
2022-09-01T07:05:00Z,28.609071694789122
2022-09-01T07:10:00Z,30.158597432428113
2022-09-01T07:15:00Z,32.1899874705511
2022-09-01T07:20:00Z,34.20446120537363
2022-09-01T07:25:00Z,33.95934585039961
2022-09-01T07:30:00Z,31.607571401155326
2022-09-01T07:35:00Z,29.12161343515947
2022-09-01T07:40:00Z,28.86945611067661
2022-09-01T07:45:00Z,27.602759265499703
2022-09-01T07:50:00Z,31.37516401369596
2022-09-01T07:55:00Z,28.91702019890621
2022-09-01T08:00:00Z,29.647450578146447
2022-09-01T08:05:00Z,31.535331908842117
2022-09-01T08:10:00Z,34.76030643917571
2022-09-01T08:15:00Z,35.53769325162964
2022-09-01T08:20:00Z,37.481198333600545
2022-09-01T08:25:00Z,40.27701699281419
2022-09-01T08:30:00Z,43.52207272708882
2022-09-01T08:35:00Z,46.30529179355187
2022-09-01T08:40:00Z,43.17423518093957
2022-09-01T08:45:00Z,36.657808702949566
2022-09-01T08:50:00Z,32.52838312169261
2022-09-01T08:55:00Z,27.33897142656526
2022-09-01T09:00:00Z,20.817017259759446
2022-09-01T09:05:00Z,17.36167939580955
2022-09-01T09:10:00Z,15.803971047793697
2022-09-01T09:15:00Z,13.74426800897315
2022-09-01T09:20:00Z,10.399669645535322
2022-09-01T09:25:00Z,9.28042337835856
2022-09-01T09:30:00Z,8.668022615511372
2022-09-01T09:35:00Z,7.885560463400525
2022-09-01T09:40:00Z,7.039981735235417
2022-09-01T09:45:00Z,7.055376806654177
2022-09-01T09:50:00Z,7.0505937170870645
2022-09-01T09:55:00Z,7
2022-09-01T10:00:00Z,7
2022-09-01T10:05:00Z,7
2022-09-01T10:10:00Z,7
2022-09-01T10:15:00Z,7
2022-09-01T10:20:00Z,7
2022-09-01T10:25:00Z,7
2022-09-01T10:30:00Z,7
2022-09-01T10:35:00Z,7
2022-09-01T10:40:00Z,7
2022-09-01T10:45:00Z,7
2022-09-01T10:50:00Z,7
2022-09-01T10:55:00Z,7
2022-09-01T11:00:00Z,7
2022-09-01T11:05:00Z,7
2022-09-01T11:10:00Z,7
2022-09-01T11:15:00Z,7
2022-09-01T11:20:00Z,7
2022-09-01T11:25:00Z,7
2022-09-01T11:30:00Z,7
2022-09-01T11:35:00Z,7
2022-09-01T11:40:00Z,7
2022-09-01T11:45:00Z,7
2022-09-01T11:50:00Z,7
2022-09-01T11:55:00Z,7
2022-09-01T12:00:00Z,7
2022-09-01T12:05:00Z,7
2022-09-01T12:10:00Z,7
2022-09-01T12:15:00Z,7
2022-09-01T12:20:00Z,7
2022-09-01T12:25:00Z,7
2022-09-01T12:30:00Z,7
2022-09-01T12:35:00Z,7
2022-09-01T12:40:00Z,7
2022-09-01T12:45:00Z,7
2022-09-01T12:50:00Z,7
2022-09-01T12:55:00Z,7
2022-09-02T06:00:00Z,7
2022-09-02T06:05:00Z,7
2022-09-02T06:10:00Z,7
2022-09-02T06:15:00Z,7
2022-09-02T06:20:00Z,7
2022-09-02T06:25:00Z,7
2022-09-02T06:30:00Z,7
2022-09-02T06:35:00Z,7
2022-09-02T06:40:00Z,7
2022-09-02T06:45:00Z,7
2022-09-02T06:50:00Z,7
2022-09-02T06:55:00Z,7
2022-09-02T07:00:00Z,7
2022-09-02T07:05:00Z,7
2022-09-02T07:10:00Z,7
